297,292
297,288
304,289
307,294
307,295
307,302
302,307
297,305
293,302
293,293
294,295
303,283
308,285
312,289
316,294
318,301
315,306
307,313
298,314
292,313
288,305
284,295
284,302
286,289
292,284
299,283
292,289
305,302
312,309
305,278
305,270
306,266
308,260
308,254
311,247
313,240
311,245
314,230
314,236
315,222
317,218
317,214
321,206
321,210
321,197
318,200
319,193
322,187
323,182
326,175
327,170
327,162
325,173
328,156
327,159
331,150
331,140
335,130
334,135
335,119
338,112
336,122
332,145
340,105
340,99
343,92
343,89
343,76
345,80
347,68
347,63
350,56
350,47
353,42
354,37
353,32
351,51
292,270
296,270
302,271
309,274
316,276
319,282
331,264
325,264
318,261
314,256
306,254
300,254
293,254
286,256
277,229
280,230
284,235
286,231
294,231
302,231
293,231
306,229
316,231
322,238
328,244
336,244
343,247
334,247
330,238
323,236
325,237
275,207
280,209
286,209
292,209
296,209
299,209
305,208
312,207
314,206
308,206
322,207
327,213
331,217
336,220
344,222
350,223
357,227
362,229
350,228
264,173
266,174
271,176
276,176
282,175
287,175
292,175
297,174
302,174
305,174
309,174
314,174
314,171
319,171
332,176
333,183
338,180
344,187
341,185
351,191
356,193
364,198
369,199
373,202
375,203
380,207
401,182
395,181
391,178
387,178
381,174
376,174
374,171
370,169
366,165
361,162
360,165
355,161
352,157
349,156
345,153
343,150
340,146
336,142
327,141
321,141
318,142
313,142
309,143
305,144
300,145
295,145
292,145
287,145
278,146
273,146
266,145
261,145
257,144
254,142
270,147
279,145
240,108
244,108
249,112
257,112
265,114
271,114
280,112
289,109
297,109
305,109
313,109
321,108
326,104
332,104
308,109
297,112
280,112
268,111
258,109
250,108
345,106
345,109
350,113
355,118
361,121
351,116
356,117
364,124
368,130
370,132
365,131
361,126
375,134
370,133
378,137
385,140
380,136
387,140
392,141
395,144
397,145
402,147
408,151
411,153
418,155
425,157
417,155
407,152
398,149
276,112
292,112
315,106
232,75
238,77
246,77
254,79
246,76
255,78
259,79
267,79
274,78
265,77
279,78
285,78
290,78
297,78
302,76
307,76
314,76
321,75
317,74
323,74
330,70
337,69
332,71
343,84
343,90
337,123
332,133
338,98
351,74
353,79
362,82
357,79
363,88
361,87
372,93
370,93
378,98
375,95
380,101
384,103
391,106
397,109
401,113
406,114
409,117
418,121
414,119
423,123
430,126
436,131
432,130
437,132
448,132
441,132
437,130
290,280
290,277
295,318
294,325
294,332
292,337
290,346
288,353
287,357
286,363
284,372
284,380
283,383
278,398
280,391
278,407
277,417
273,428
277,409
271,433
275,430
273,439
270,442
274,421
277,411
246,557
248,553
250,546
252,536
252,542
255,527
254,533
256,522
258,515
255,514
257,508
260,499
259,502
261,493
261,489
264,486
263,483
264,478
263,475
265,471
266,465
266,466
267,459
267,452
270,451
270,449
210,400
214,400
219,400
226,400
231,402
236,404
241,407
247,407
248,411
251,414
259,416
259,418
261,420
269,425
278,427
284,425
289,421
294,421
300,421
308,421
315,419
303,419
321,418
328,418
334,418
340,420
98,508
99,506
106,502
111,495
115,489
122,487
127,484
135,479
130,476
140,479
146,480
152,480
161,480
166,483
171,484
176,486
184,488
192,488
197,493
204,495
210,502
209,499
220,504
217,503
228,509
227,509
236,516
231,514
245,524
239,519
245,525
250,532
259,526
264,526
266,526
274,524
279,523
285,521
289,521
297,517
302,515
307,514
315,515
308,515
322,515
325,514
331,514
336,512
344,514
353,513
346,514
364,515
359,515
368,515
373,516
376,524
376,531
381,538
383,547
384,559
384,550
379,541
378,532
