45,156
70,146
98,162
114,180
132,217
152,255
156,289
161,312
156,349
131,366
94,374
69,356
55,336
44,313
32,291
18,259
12,232
11,205
19,180
55,177
73,170
91,185
65,196
37,192
36,218
75,239
66,224
83,211
109,227
106,204
127,270
105,252
73,276
48,259
43,231
94,290
62,308
54,290
82,303
75,333
88,351
106,359
99,320
111,310
130,297
84,263
104,278
139,325
127,348
109,336
132,248
123,200
89,145
68,132
50,141
32,143
16,154
32,167
191,221
229,211
268,195
312,181
356,166
401,149
448,132
284,220
336,206
312,262
364,246
434,103
435,81
445,63
473,43
459,49
493,28
505,14
487,9
463,24
477,23
443,39
454,152
470,170
487,186
513,199
534,191
553,188
566,180
578,165
583,146
584,121
585,107
580,91
570,65
561,56
548,36
530,21
515,33
533,41
548,58
504,47
517,55
551,73
541,72
488,63
534,98
513,79
469,80
517,131
508,110
491,167
507,184
535,178
514,161
553,163
474,149
543,147
502,147
496,94
448,103
528,123
563,88
565,151
565,120
535,120
555,135
555,106
533,161
528,82
